Id,Sales
1,3955.137
2,6039.009
3,8598.989
4,5738.8804
5,6427.538
6,5124.576
7,7225.1533
8,7308.736
9,4771.71
10,5119.8213
11,6786.276
12,8019.0894
13,6528.958
14,8186.8823
15,5621.8403
16,4273.952
17,5241.2603
18,8611.389
19,10236.53
20,7954.8633
21,7461.996
22,4368.538
23,5614.6445
24,3910.3113
25,7257.6533
26,9540.245
27,8944.148
28,5467.8506
29,4395.8647
30,3987.4417
31,5319.5938
32,9254.777
33,6219.159
34,4838.5356
35,4904.783
36,6778.8745
37,3521.8208
38,7290.9595
39,4210.2617
40,6531.822
41,5483.9604
42,5190.015
43,7579.678
44,6641.967
45,4377.956
46,6104.77
47,7211.541
48,10509.615
49,5758.2803
50,7857.665
51,6851.154
52,7891.87
53,6164.001
54,8499.349
55,4255.6733
56,4517.2334
57,4946.007
58,5932.842
59,8565.5205
60,6478.307
61,5292.965
62,7108.083
63,6791.92
64,8674.239
65,3993.163
66,11593.021
67,4030.3953
68,5668.222
69,6974.75
70,4730.668
71,6184.61
72,5767.72
73,6937.7695
74,5031.079
75,5055.069
76,7684.3115
77,7469.6504
78,6052.1895
79,5085.9756
80,6928.0977
81,11447.0625
82,6316.372
83,4363.625
84,5523.109
85,5523.5527
86,5106.66
87,7779.8003
88,3599.411
89,8123.284
90,5675.7666
91,6024.0527
92,6495.0557
93,4560.898
94,4977.4067
95,4573.5713
96,6732.632
97,8078.416
98,4673.644
99,4117.8677
100,6950.5415
101,4914.717
102,5781.183
103,8187.1562
104,6564.6543
105,6368.9272
106,5238.2354
107,4142.001
108,5279.6025
109,6815.6294
110,6468.6978
111,7755.6787
112,7534.1943
113,5269.5005
114,8483.459
115,4980.651
116,6267.643
117,7757.4443
118,6869.918
119,8635.742
120,7825.849
121,7273.1943
122,4978.4316
123,6658.3955
124,6687.7812
125,6031.8228
126,3645.7104
127,4506.0
128,7396.3926
129,5479.4688
130,3935.4065
131,7861.212
132,6239.0396
133,5580.1
134,5338.6465
135,4755.499
136,5840.8945
137,6576.59
138,6183.6724
139,5404.7944
140,4716.837
141,5911.6543
142,3622.2905
143,6165.9326
144,5088.0654
145,7831.419
146,7428.853
147,6090.539
148,11382.313
149,4710.7256
150,4727.2217
151,9213.211
152,6008.0835
153,7626.502
154,7058.1265
155,5227.908
156,5448.0293
157,5278.908
158,7157.7593
159,10625.487
160,5729.057
161,3383.5566
162,4615.4766
163,7850.2373
164,8593.41
165,6148.6055
166,6634.5483
167,4196.024
168,4727.0146
169,2892.1067
170,4298.502
171,5914.4233
172,7112.721
173,6174.919
174,5960.426
175,7845.5996
176,7858.303
177,7646.2305
178,4545.744
179,8409.179
180,9849.586
181,4885.8594
182,7508.144
183,5074.994
184,5914.9775
185,4043.3652
186,5972.4683
187,4943.907
188,8196.599
189,6889.693
190,7024.3833
191,7045.057
192,5096.97
193,8133.3564
194,17017.73
195,9748.363
196,5019.1577
197,3244.423
198,5807.081
199,7528.0674
200,5409.289
201,10970.213
202,17744.945
203,3746.8032
204,4664.8223
205,7637.4995
206,4401.3896
207,6989.1553
208,5107.346
209,6678.6763
210,3799.966
211,6079.1353
212,5642.3887
213,6860.148
214,9394.206
215,5972.6177
216,5694.336
